session_id,start_time,end_time,duration_seconds,total_attention_time,attention_percentage,total_look_aways,avg_attention_score,session_type,notes,created_at
session_20251004_154709,2025-10-04 15:47:09.965691,2025-10-04 15:47:10.605108,100.0,70.0,70.0,5.0,0.65,test_session,Testing the logging system,2025-10-04 10:17:09
session_20251004_160342,2025-10-04 16:03:42.514670,2025-10-04 16:04:45.305081,62.77544355392456,8.466666666666647,13.48722715020519,45.0,0.12333333333333331,enhanced_study,Enhanced tracker with full logging,2025-10-04 10:33:42
session_20251004_181444,2025-10-04 18:14:44.055533,2025-10-04 18:15:09.737902,25.68285822868347,14.49999999999996,56.457890593368134,5.0,0.4458333333333333,enhanced_study,Enhanced tracker with full logging,2025-10-04 12:44:44
session_20251018_131057,2025-10-18 13:10:57.375514,,,,,,,enhanced_study,Enhanced tracker with full logging,2025-10-18 07:40:57
session_20251018_132935,2025-10-18 13:29:35.709893,2025-10-18 13:29:45.199545,9.48978590965271,6.399999999999987,67.44093134377363,3.0,0.9375,enhanced_study,Enhanced tracker with full logging,2025-10-18 07:59:35
